product_name,treatment_name,treatment_type,dosage,unit,equipments,medications,target_area,benefits
[1회체험가] V 레이저 제네시스 토닝,V 레이저 제네시스 토닝,laser,,,"V 레이저, 제네시스",,,"홍조 개선, 붉은색 색소 개선, 기미 개선, 피부 결 개선"
V 레이저 제네시스 토닝,V 레이저 제네시스 토닝,laser,,,"V 레이저, 제네시스",,,"홍조 개선, 붉은색 색소 개선, 기미 개선, 피부 결 개선"
V 레이저 색소 모드,V 레이저 색소 모드,laser,,,"V 레이저, 쿨뷰 핸드피스",,,색소 질환 개선
V 레이저 홍조 모드,V 레이저 홍조 모드,laser,,,"V 레이저, 쿨뷰 핸드피스",,,"안면홍조 개선, 혈관종 개선, 모세혈관 확장증 개선, 붉은 자국 개선"
V 레이저 혈관 모드,V 레이저 혈관 모드,laser,,,"V 레이저, 쿨뷰 핸드피스",,,"안면홍조 개선, 혈관종 개선, 모세혈관 확장증 개선, 붉은 자국 개선"
V 레이저 여드름 흉터 모드,V 레이저 여드름 흉터 모드,laser,,,"V 레이저, 쿨뷰 핸드피스",,,"여드름 자국 개선, 흉터 질환 개선"
V 레이저 (색소/혈관/홍조/여드름흉터) 중 2모드 이상,V 레이저 2모드 이상,laser,,,"V 레이저, 쿨뷰 핸드피스",,,"색소 개선, 홍조 개선, 혈관 개선, 여드름 자국 개선"
V 레이저 여드름 흉터 모드 3회,V 레이저 여드름 흉터 모드 3회,laser,3.0,회,"V 레이저, 쿨뷰 핸드피스",,,"여드름 자국 개선, 흉터 질환 개선"
V 레이저 홍조 모드 3회,V 레이저 홍조 모드 3회,laser,3.0,회,"V 레이저, 쿨뷰 핸드피스",,,"안면홍조 개선, 혈관종 개선, 모세혈관 확장증 개선, 붉은 자국 개선"
V 레이저 색소 모드 3회,V 레이저 색소 모드 3회,laser,3.0,회,"V 레이저, 쿨뷰 핸드피스",,,색소 질환 개선
V 레이저 혈관 모드 3회,V 레이저 혈관 모드 3회,laser,3.0,회,"V 레이저, 쿨뷰 핸드피스",,,"안면홍조 개선, 혈관종 개선, 모세혈관 확장증 개선, 붉은 자국 개선"
V 레이저 제네시스 토닝 3회,V 레이저 제네시스 토닝 3회,laser,3.0,회,"V 레이저, 제네시스",,,"홍조 개선, 붉은색 색소 개선, 기미 개선, 피부 결 개선"
"V 레이저 (색소/혈관/홍조/여드름흉터) 중 2모드 이상, 3회",V 레이저 2모드 이상 3회,laser,3.0,회,"V 레이저, 쿨뷰 핸드피스",,,"색소 개선, 홍조 개선, 혈관 개선, 여드름 자국 개선"
V 레이저 제네시스 토닝 5회,V 레이저 제네시스 토닝 5회,laser,5.0,회,"V 레이저, 제네시스",,,"홍조 개선, 붉은색 색소 개선, 기미 개선, 피부 결 개선"
V 레이저 여드름 흉터 모드 5회,V 레이저 여드름 흉터 모드 5회,laser,5.0,회,"V 레이저, 쿨뷰 핸드피스",,,"여드름 자국 개선, 흉터 질환 개선"
V 레이저 혈관 모드 5회,V 레이저 혈관 모드 5회,laser,5.0,회,"V 레이저, 쿨뷰 핸드피스",,,"안면홍조 개선, 혈관종 개선, 모세혈관 확장증 개선, 붉은 자국 개선"
V 레이저 색소 모드 5회,V 레이저 색소 모드 5회,laser,5.0,회,"V 레이저, 쿨뷰 핸드피스",,,색소 질환 개선
V 레이저 홍조 모드 5회,V 레이저 홍조 모드 5회,laser,5.0,회,"V 레이저, 쿨뷰 핸드피스",,,"안면홍조 개선, 혈관종 개선, 모세혈관 확장증 개선, 붉은 자국 개선"
"V 레이저 (색소/혈관/홍조/여드름흉터) 중 2모드 이상, 5회",V 레이저 2모드 이상 5회,laser,5.0,회,"V 레이저, 쿨뷰 핸드피스",,,"색소 개선, 홍조 개선, 혈관 개선, 여드름 자국 개선"
얼굴지방분해주사 (비스테로이드) 3cc,얼굴지방분해주사 (비스테로이드),injection,3.0,cc,,,,
얼굴지방분해주사 (비스테로이드) 5cc,얼굴지방분해주사 (비스테로이드),injection,5.0,cc,,,,
얼굴지방분해주사 (비스테로이드) 10cc,얼굴지방분해주사 (비스테로이드),injection,10.0,cc,,,,
브이올렛 1vial 2cc,브이올렛,injection,2.0,cc,,DCA,이중턱,"이중턱 지방세포 파괴, 콜라겐 생성"
브이올렛 1vial 2cc 3회,브이올렛,injection,2.0,cc,,DCA,이중턱,"이중턱 지방세포 파괴, 콜라겐 생성"
일반시술 얼굴지방분해주사 (비스테로이드) 1cc,얼굴지방분해주사 (비스테로이드),injection,1.0,cc,,,,
전체 V라인 보톡스 국산,V라인 보톡스,injection,,,,국산 보톡스,턱라인,"턱라인 개선, 리프팅"
V라인 보톡스 국산 프리미엄,V라인 보톡스,injection,,,,국산 프리미엄 보톡스 (내성 완화),턱라인,"턱라인 개선, 리프팅, 내성 완화"
[1회체험가] 스킨보톡스 (국산) 2cc,스킨보톡스,injection,2.0,cc,,국산 보톡스,얼굴 전체,"피부 탄력 증진, 쫀쫀함, 탱탱함"
스킨 보톡스 국산 1cc,스킨 보톡스,injection,1.0,cc,,국산 보톡스,"상안, 하안","피부 탄력 증진, 쫀쫀함, 탱탱함"
V라인 보톡스 제오민,V라인 보톡스,injection,,,,제오민 (내성 완화),턱라인,"턱라인 개선, 리프팅, 내성 완화"
스킨 보톡스 국산 2cc,스킨 보톡스,injection,2.0,cc,,국산 보톡스,얼굴 전체,"피부 탄력 증진, 쫀쫀함, 탱탱함"
스킨 보톡스 국산 프리미엄 1cc,스킨 보톡스,injection,1.0,cc,,국산 프리미엄 보톡스,"상안, 하안","피부 탄력 증진, 쫀쫀함, 탱탱함"
V라인 보톡스 앨러간,V라인 보톡스,injection,,,,앨러간 보톡스,턱라인,"턱라인 개선, 리프팅"
스킨 보톡스 국산 프리미엄 2cc,스킨 보톡스,injection,2.0,cc,,국산 프리미엄 보톡스,얼굴 전체,"피부 탄력 증진, 쫀쫀함, 탱탱함"
스킨 보톡스 제오민 1cc,스킨 보톡스,injection,1.0,cc,,제오민,"상안, 하안","피부 탄력 증진, 쫀쫀함, 탱탱함"
스킨 보톡스 앨러간 1cc,스킨 보톡스,injection,1.0,cc,,앨러간 보톡스,"상안, 하안","피부 탄력 증진, 쫀쫀함, 탱탱함"
스킨 보톡스 제오민 2cc,스킨 보톡스,injection,2.0,cc,,제오민,얼굴 전체,"피부 탄력 증진, 쫀쫀함, 탱탱함"
스킨 보톡스 앨러간 2cc,스킨 보톡스,injection,2.0,cc,,앨러간 보톡스,얼굴 전체,"피부 탄력 증진, 쫀쫀함, 탱탱함"
카프리 레이저 (압출 미포함),카프리 레이저,laser,,,카프리 레이저,,,"회복 빠름, 부작용 적음"
카프리 레이저 (압출 포함),카프리 레이저,laser,,,카프리 레이저,,,"회복 빠름, 부작용 적음"
카프리 레이저 5회 (압출 미포함) + 여드름 약 처방 + 염증주사,카프리 레이저,laser,5.0,회,카프리 레이저,,,"회복 빠름, 부작용 적음"
카프리 레이저 5회 (압출 미포함) + 여드름 약 처방 + 염증주사,여드름 약 처방,skincare,,,,여드름 약,,
카프리 레이저 5회 (압출 미포함) + 여드름 약 처방 + 염증주사,염증주사,injection,,,,염증주사,,
카프리 레이저 5회 (압출 포함) + 여드름 약 처방 + 염증주사,카프리 레이저,laser,5.0,회,카프리 레이저,,,"회복 빠름, 부작용 적음"
카프리 레이저 5회 (압출 포함) + 여드름 약 처방 + 염증주사,여드름 약 처방,skincare,,,,여드름 약,,
카프리 레이저 5회 (압출 포함) + 여드름 약 처방 + 염증주사,염증주사,injection,,,,염증주사,,
인기 주름 보톡스 국산 1부위,주름 보톡스 (국산),injection,,부위,,,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",
인기 주름 보톡스 국산 프리미엄 1부위,주름 보톡스 (국산 프리미엄),injection,,부위,,,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",
인기 주름 보톡스 국산 3부위,주름 보톡스 (국산),injection,,부위,,,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",
인기 주름 보톡스 제오민 1부위,주름 보톡스 (제오민),injection,,부위,,제오민,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",내성 걱정 없이 반복 시술에 효과적
주름 보톡스 국산 5부위,주름 보톡스 (국산),injection,,부위,,,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",
주름 보톡스 국산 프리미엄 3부위,주름 보톡스 (국산 프리미엄),injection,,부위,,,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",
인기 주름 보톡스 앨러간 1부위,주름 보톡스 (앨러간),injection,,부위,,앨러간,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",최초의 오리지널 보톡스
주름 보톡스 국산 프리미엄 5부위,주름 보톡스 (국산 프리미엄),injection,,부위,,,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",
주름 보톡스 제오민 3부위,주름 보톡스 (제오민),injection,,부위,,제오민,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",내성 걱정 없이 반복 시술에 효과적
주름 보톡스 앨러간 3부위,주름 보톡스 (앨러간),injection,,부위,,앨러간,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",최초의 오리지널 보톡스
주름 보톡스 제오민 5부위,주름 보톡스 (제오민),injection,,부위,,제오민,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",내성 걱정 없이 반복 시술에 효과적
주름 보톡스 앨러간 5부위,주름 보톡스 (앨러간),injection,,부위,,앨러간,"이마, 미간, 눈가, 눈밑, 콧잔등, 자갈턱, 콧볼",최초의 오리지널 보톡스
[1회체험가] 피코 프락셀,피코 프락셀,laser,,,피코 프락셀,,,
피코 프락셀,피코 프락셀,laser,,,피코 프락셀,,,
피코 프락셀 3회,피코 프락셀,laser,3.0,회,피코 프락셀,,,
물광주사 2.5cc (직접주사),물광주사,injection,2.5,cc,,히알루론산,,"광채, 수분감, 콜라겐 생성 촉진, 촉촉함, 탄력 증대"
더마샤인 인젝터,더마샤인 인젝터 시술,device,,,더마샤인 인젝터,,,
포텐자 펌핑팁,포텐자 펌핑팁 시술,device,,,포텐자,,,
[1회체험가] 필메드 NCTF 135 3cc (MTS),필메드 NCTF 135,skincare,3.0,cc,MTS,,,"피부 속 건조함 개선, 피부 맑아짐, 피부 장벽 재생, 피부 수분감 개선, 미백 개선, 탄력 개선"
필메드 NCTF 135 3cc (MTS),필메드 NCTF 135,skincare,3.0,cc,MTS,,,"피부 속 건조함 개선, 피부 맑아짐, 피부 장벽 재생, 피부 수분감 개선, 미백 개선, 탄력 개선"
포텐자 펌핑팁,포텐자 펌핑팁,device,,,포텐자,,,
[1회체험가] 엑소좀 5cc (MTS),엑소좀 (MTS),skincare,5.0,cc,MTS,엑소좀,,"피부 탄력, 모공 개선, 염증 개선, 피부 자생력 부여, 근본적인 피부 문제 해결"
엑소좀 5cc (MTS),엑소좀 (MTS),skincare,5.0,cc,MTS,엑소좀,,"피부 탄력, 모공 개선, 염증 개선, 피부 자생력 부여, 근본적인 피부 문제 해결"
엑소좀 5cc (포텐자 펌핑팁) 3회,엑소좀 (포텐자 펌핑팁),skincare,5.0,cc,포텐자 펌핑팁,엑소좀,,"피부 탄력, 모공 개선, 염증 개선, 피부 자생력 부여, 근본적인 피부 문제 해결"
일반시술 옵션) 포텐자 펌핑팁,포텐자 펌핑팁,device,,,포텐자 펌핑팁,,,
[1회체험가] 아쿠아필,아쿠아필,skincare,,,,"AHA, BHA",,"모공 속 노폐물 제거, 피지 정리, 맑고 깨끗한 피부"
아쿠아필 코 압출 미포함,아쿠아필,skincare,,,,"AHA, BHA",,"모공 속 노폐물 제거, 피지 정리, 맑고 깨끗한 피부"
아쿠아필 코 압출 포함,아쿠아필,skincare,,,,"AHA, BHA",,"모공 속 노폐물 제거, 피지 정리, 맑고 깨끗한 피부"
아쿠아필 코 압출 포함,코 압출,skincare,,회,,,코,"블랙헤드 제거, 피지 제거"
[1회체험가] 라라필 pH5.5의 피부 자극을 최소화한 4세대 필링,라라필,skincare,,,,,,
라라필 pH 5.5의 중성으로 피부 자극 걱정이 없고 단백질과 지질의 피부 장벽을 생성하여 예민하거나 피부가 얇은 고객도 꾸준히 받을 수 있는 신개념 4세대 필링,라라필,skincare,,,,,,
라라필 3회,라라필,skincare,3.0,회,,,,
라라필 + 에토좀 골드 PTT,라라필,skincare,,,,,,
라라필 + 에토좀 골드 PTT,에토좀 골드 PTT,skincare,,,,,,
레이저 토닝,레이저 토닝,laser,,,레이저옵텍,,,"환하고 밝은 피부 톤, 옅고 깊은 색소침착 개선, 피부 톤 개선, 주름개선, 화이트닝 효과"
바디 토닝 (등 2회치),바디 토닝,laser,2.0,회,,,등,색소침착 개선
바디 피코토닝 (등 2회치),바디 피코토닝,laser,2.0,회,,,등,색소침착 개선
바디토닝 5회 (등 2회치),바디토닝,laser,2.0,회,,,등,색소침착 개선
바디 피코토닝 5회 (등 2회치),바디 피코토닝,laser,2.0,회,,,등,색소침착 개선
전체 DDR 리프팅 300샷,DDR 리프팅,device,300.0,샷,,,,
다이아 리프팅 500샷,다이아 리프팅,device,500.0,샷,,,,
다이아 리프팅 500샷 + DDR 리프팅 300샷,DDR 리프팅,device,300.0,샷,,,,
다이아 리프팅 500샷 + DDR 리프팅 300샷,다이아 리프팅,device,500.0,샷,,,,
다이아 리프팅 500샷 3회,다이아 리프팅,device,500.0,샷,,,,
다이아 리프팅 500샷 + DDR 리프팅 300샷 3회,DDR 리프팅,device,300.0,샷,,,,
다이아 리프팅 500샷 + DDR 리프팅 300샷 3회,다이아 리프팅,device,500.0,샷,,,,
피코슈어 문신 제거 500원 사이즈,피코슈어 문신 제거,laser,,,피코슈어,,,"주변 조직 손상 최소화, 빠르고 강한 문신 색소 분해, 다양한 색소 병변 개선 효과, 부작용 최소화, 높은 만족도"
피코슈어 문신 제거 명함 사이즈,피코슈어 문신 제거,laser,,,피코슈어,,,"주변 조직 손상 최소화, 빠르고 강한 문신 색소 분해, 다양한 색소 병변 개선 효과, 부작용 최소화, 높은 만족도"
피코슈어 문신 제거 500원 사이즈 5회,피코슈어 문신 제거,laser,,회,피코슈어,,,"주변 조직 손상 최소화, 빠르고 강한 문신 색소 분해, 다양한 색소 병변 개선 효과, 부작용 최소화, 높은 만족도"
피코슈어 문신 제거 500원 사이즈 10회,피코슈어 문신 제거,laser,,회,피코슈어,,,"주변 조직 손상 최소화, 빠르고 강한 문신 색소 분해, 다양한 색소 병변 개선 효과, 부작용 최소화, 높은 만족도"
피코슈어 문신 제거 명함 사이즈 5회,피코슈어 문신 제거,laser,,회,피코슈어,,,"주변 조직 손상 최소화, 빠르고 강한 문신 색소 분해, 다양한 색소 병변 개선 효과, 부작용 최소화, 높은 만족도"
피코슈어 문신 제거 명함 사이즈 10회,피코슈어 문신 제거,laser,,회,피코슈어,,,"주변 조직 손상 최소화, 빠르고 강한 문신 색소 분해, 다양한 색소 병변 개선 효과, 부작용 최소화, 높은 만족도"
점 제거 (중),점 제거,laser,,,어븀 레이저,,,"흉터 최소화, 색소침착 최소화"
점 제거 (대),점 제거,laser,,,어븀 레이저,,,"흉터 최소화, 색소침착 최소화"
비립종/쥐젖/사마귀 제거 (1개),비립종/쥐젖/사마귀 제거,laser,1.0,개,어븀 레이저,,,"흉터 최소화, 색소침착 최소화"
"비립종/쥐젖/사마귀 제거 (얼굴/목, 20개 이하)",비립종/쥐젖/사마귀 제거,laser,20.0,개 이하,어븀 레이저,,"얼굴, 목","흉터 최소화, 색소침착 최소화"
여드름 약 처방전 4주,여드름 약 처방,skincare,,,,,,여드름 증상 완화
턱 보톡스 국산 50u(소분),턱 보톡스 국산,injection,50.0,u,,,턱,
턱 보톡스 국산 50u(눈앞개봉),턱 보톡스 국산,injection,50.0,u,,,턱,
턱 보톡스 국산 50u(소분) + 얼굴지방분해주사(비스테로이드) 3cc,턱 보톡스 국산,injection,50.0,u,,,턱,
턱 보톡스 국산 50u(소분) + 얼굴지방분해주사(비스테로이드) 3cc,얼굴지방분해주사(비스테로이드),injection,3.0,cc,,,얼굴,
턱 보톡스 국산 프리미엄 50u(눈앞개봉),턱 보톡스 국산 프리미엄,injection,50.0,u,,,턱,
턱 보톡스 제오민 50u(눈앞개봉),턱 보톡스 제오민,injection,50.0,u,,,턱,
턱 보톡스 앨러간 50u(눈앞개봉),턱 보톡스 앨러간,injection,50.0,u,,,턱,
콧볼축소주사,콧볼축소주사,injection,,,,,콧볼,날렵한 콧망울로 개선
콧볼축소주사 + 콧볼 보톡스,콧볼축소주사,injection,,,,,콧볼,날렵한 콧망울로 개선
콧볼축소주사 + 콧볼 보톡스,콧볼 보톡스,injection,,,,,콧볼,
콧볼축소주사 + 콧볼 보톡스 3회,콧볼축소주사,injection,,,,,콧볼,날렵한 콧망울로 개선
콧볼축소주사 + 콧볼 보톡스 3회,콧볼 보톡스,injection,,회,,,콧볼,
입꼬리 보톡스 국산,입꼬리 보톡스,injection,,,,국산 보톡스,입꼬리,입꼬리 개선
입꼬리 보톡스 국산 프리미엄,입꼬리 보톡스,injection,,,,국산 프리미엄 보톡스,입꼬리,"입꼬리 개선, 내성 최소화"
귀밑 침샘 보톡스 국산 50u,귀밑 침샘 보톡스,injection,50.0,u,,국산 보톡스,귀밑 침샘,턱 라인 개선
팔자주름 보톡스 국산,팔자주름 보톡스,injection,,,,국산 보톡스,팔자주름,"팔자주름 예방, 팔자주름 개선"
목주름 보톡스 국산 0.5cc,목주름 보톡스,injection,0.5,cc,,국산 보톡스,목주름,"목주름 예방, 목주름 개선"
광대 보톡스 국산,광대 보톡스,injection,,,,국산 보톡스,광대,갸름한 얼굴 라인 형성
측두근 보톡스 국산 50u,측두근 보톡스,injection,50.0,u,,국산 보톡스,측두근,작은 얼굴 만들기
거미스마일 보톡스 국산,거미스마일 보톡스,injection,,,,국산 보톡스,잇몸,과도한 잇몸 노출 개선
입꼬리 보톡스 제오민,입꼬리 보톡스,injection,,,,제오민,입꼬리,"입꼬리 개선, 내성 완화"
